conn_ID,conn_ConnectionTypeID,conn_Reference,conn_StatusTypeID,conn_LevelID,conn_Amps,conn_Voltage,conn_PowerKW,conn_CurrentTypeID,conn_Quantity,conn_Comments,conn_ConnectionType_FormalName,conn_ConnectionType_IsDiscontinued,conn_ConnectionType_IsObsolete,conn_ConnectionType_ID,conn_ConnectionType_Title,conn_StatusType_IsOperational,conn_StatusType_IsUserSelectable,conn_StatusType_ID,conn_StatusType_Title,conn_Level_Comments,conn_Level_IsFastChargeCapable,conn_Level_ID,conn_Level_Title,conn_CurrentType_Description,conn_CurrentType_ID,conn_CurrentType_Title,conn_StatusType,conn_CurrentType,ID,UUID,UsageCost,NumberOfPoints,OperatorInfo_Title,UsageType_Title,AddressInfo_Title,AddressInfo_AddressLine1,AddressInfo_Town,AddressInfo_Postcode,AddressInfo_Latitude,AddressInfo_Longitude,AddressInfo_Country_Title,DateLastVerified
140920,25,PG-91280,50.0,2,32.0,230.0,7.0,10.0,1.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),True,True,50.0,Operational,"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Single Phase,10.0,AC (Single-Phase),,,99741,767F6807-50C1-47D5-AEC0-19D74B5F5105,1,1,POD Point (UK),"Private - For Staff, Visitors or Customers",Bow Bells House,1 Bread Street,London,EC4M 9BE,51.513237,-0.094463,United Kingdom,2025-03-05 16:45:00+00:00
143548,25,,0.0,2,32.0,230.0,7.0,10.0,2.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),,True,0.0,Unknown,"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Single Phase,10.0,AC (Single-Phase),,,101689,E1BC8F75-6FE2-4DC0-8C3E-5B01A1C46DFE,Free,2,POD Point (UK),"Private - For Staff, Visitors or Customers",Lloyds Head Office,Lloyds Banking Group,5th Floor,EC2Y 5AS,51.517476,-0.093712,United Kingdom,2023-10-09 13:16:00+00:00
143203,25,,0.0,2,32.0,230.0,7.0,10.0,1.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),,True,0.0,Unknown,"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Single Phase,10.0,AC (Single-Phase),,,101418,32B4BC6B-2437-435E-8E1B-97C97A36AFED,Free,1,POD Point (UK),"Private - For Staff, Visitors or Customers",Moor Place,1 Fore Street Avenue,London,EC2Y 9DT,51.518179,-0.090542,United Kingdom,2023-10-09 13:27:00+00:00
114741,25,PG-90990,50.0,2,32.0,230.0,7.0,10.0,1.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),True,True,50.0,Operational,"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Single Phase,10.0,AC (Single-Phase),,,80088,807B454F-C6FC-48AE-800E-3E9455907991,1,1,POD Point (UK),"Private - For Staff, Visitors or Customers",Investec-Gresham Street,30 Gresham Street, London,EC2V 7QN,51.516701,-0.095897,United Kingdom,2024-08-01 05:31:00+00:00
71785,25,,50.0,2,32.0,230.0,7.0,10.0,5.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),True,True,50.0,Operational,"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Single Phase,10.0,AC (Single-Phase),,,56874,1C42CB25-19AA-4ABF-AE2C-AE96BF6FCF79,Inclusive; for Polar Plus subscription members only. Parking fees apply.,10,BP Pulse (UK),Public - Membership Required,London Wall Car Park,London Wall,London,EC2V 5DY,51.517667,-0.095277,United Kingdom,2019-03-06 06:34:00+00:00
124905,25,,50.0,2,16.0,230.0,4.0,10.0,5.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),True,True,50.0,Operational,"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Single Phase,10.0,AC (Single-Phase),,,56874,1C42CB25-19AA-4ABF-AE2C-AE96BF6FCF79,Inclusive; for Polar Plus subscription members only. Parking fees apply.,10,BP Pulse (UK),Public - Membership Required,London Wall Car Park,London Wall,London,EC2V 5DY,51.517667,-0.095277,United Kingdom,2019-03-06 06:34:00+00:00
57409,25,,50.0,2,32.0,230.0,4.0,10.0,4.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),True,True,50.0,Operational,"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Single Phase,10.0,AC (Single-Phase),,,46733,D619F2E4-E499-4225-B2CE-0D79BD577AB1,Inclusive; for Polar Plus subscription members only. Parking fees apply,4,BP Pulse (UK),Public - Membership Required,NCP London Vintry Thames Exchange,Bell Wharf Lane,London,EC4R 3TB,51.5101815,-0.092865,United Kingdom,2019-03-06 06:35:00+00:00
146812,25,,50.0,2,32.0,400.0,7.0,20.0,2.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),True,True,50.0,Operational,"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Three Phase,20.0,AC (Three-Phase),,,104007,68D4F313-5DDB-4BFF-A09A-311BA548E3F8,Inclusive; for Polar Plus subscription members only,2,BP Pulse (UK),Public - Membership Required,Thomas More House Car Park,Thomas More House Car Park,,EC2Y 8BT,51.518345,-0.09627,United Kingdom,2019-06-26 05:16:00+00:00
66134,25,,75.0,2,32.0,230.0,4.0,10.0,4.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),True,True,75.0,Partly Operational (Mixed),"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Single Phase,10.0,AC (Single-Phase),,,53055,DFB2C07F-397F-4087-A584-E03151EA8051,Free. Parking fees apply.,4,Total Energies (UK),Public - Membership Required,NCP Aldersgate,158-170 Aldersgate Street,London,EC1A 4HY,51.5181749210381,-0.0972906984862987,United Kingdom,2019-04-24 05:16:00+00:00
132160,25,,0.0,2,32.0,230.0,7.0,10.0,2.0,,IEC 62196-2 Type 2,False,False,25,Type 2 (Socket Only),,True,0.0,Unknown,"Over 2 kW, usually non-domestic socket type",False,2,Level 2 : Medium (Over 2kW),Alternating Current - Single Phase,10.0,AC (Single-Phase),,,93303,8B5A4318-226F-4F65-B007-C5B0D1539F22,Free,2,POD Point (UK),"Private - For Staff, Visitors or Customers",Aviva PLC,St Helen's,London,EC3P 3DQ,51.514246,-0.081589,United Kingdom,2023-10-09 13:27:00+00:00
